"avalanche.id","date","date.quality","hydrological.year","canton","local.name","start.zone.coordinates.x","start.zone.coordinates.y","coordinates.quality","start.zone.elevation","start.zone.slope.aspect","start.zone.inclination","forecasted.dangerlevel","number.dead","number.caught","number.fully.buried","activity"
13007,1995-12-25,0,"1995/96","VS","Chetseron / Vallon de l`Ertentse",602380,131230,25,2060,"NW",NA,NA,2,2,0,"offpiste"
13014,1995-12-28,0,"1995/96","VS","Verbier / Les Ruinettes",586070,104160,25,2340,"NNE",39,NA,1,1,1,"offpiste"
13028,1996-01-14,0,"1995/96","GR","Chilchalphorn",731720,155110,25,2960,"E",35,NA,1,4,2,"tour"
13038,1996-02-14,0,"1995/96","VD","La Lécherette",575300,141010,25,1580,"NNW",42,NA,1,2,1,"offpiste"
13040,1996-02-15,0,"1995/96","OW","Pilatus / Matthorn / Ruessiflue",661640,202180,25,1860,"NW",40,NA,1,4,3,"tour"
13049,1996-02-18,0,"1995/96","GR","Alp Trida / Greitspitz ",820490,206020,25,2760,"SE",38,NA,1,1,1,"offpiste"
13050,1996-02-18,0,"1995/96","VS","Val de Nendaz / La Meina",592225,111825,25,2160,"N",48,NA,1,1,0,"offpiste"
13051,1996-02-19,0,"1995/96","GR","Parsenngebiet / Salezer Tobel",782600,188740,25,2170,"E",37,NA,1,1,1,"offpiste"
13052,1996-02-19,0,"1995/96","VS","Hungerberg",671800,154770,25,2000,"W",50,NA,1,2,0,"offpiste"
13054,1996-02-19,0,"1995/96","GR","Drostobel",782960,193160,25,2020,"E",40,NA,1,1,1,"offpiste"
13058,1996-02-21,0,"1995/96","VS","Monts Rouges / Arolla",599630,96640,25,3000,"SE",40,NA,2,3,2,"tour"
13061,1996-02-23,0,"1995/96","OW","Titlis / Laubersgrat ",674340,182740,25,2100,"NW",45,NA,1,1,1,"offpiste"
13069,1996-02-29,0,"1995/96","VS","Strahlchnubel",633500,95280,25,3300,"SW",36,NA,2,3,2,"tour"
13085,1996-04-08,0,"1995/96","GR","Ofenpass / Piz Daint",818155,167250,25,2760,"NNW",41,NA,1,1,1,"tour"
13129,1996-12-31,0,"1996/97","GR","Munt da Brail / Val Paistel / Brail",797300,171450,25,2480,"ESE",45,NA,1,1,1,"tour"
13134,1997-01-02,0,"1996/97","VS","Champex / Piste “Rouge” de l `Arpette",572425,95775,25,2560,"NNW",40,NA,1,2,1,"transportation.corridor"
13138,1997-01-04,0,"1996/97","GR","Piz Gendusas",702800,174730,25,2650,"ESE",39,NA,1,5,5,"offpiste"
13142,1997-01-11,0,"1996/97","VS","Mont Blanc de Cheilon",598240,93380,25,3800,"NW",49,NA,2,2,0,"tour"
13152,1997-02-15,0,"1996/97","GR","Parsenn / Stützalp",783080,190820,25,2020,"NNE",40,NA,1,1,0,"offpiste"
13153,1997-02-16,0,"1996/97","GR","Oberalppass / Pazolastock",694200,167380,25,2320,"NE",35,NA,1,3,1,"tour"
13154,1997-02-16,0,"1996/97","VS","Cleuson",591330,106470,25,2240,"W",36,NA,1,2,2,"tour"
13159,1997-02-16,0,"1996/97","VD","La Videmanette",581800,144920,25,2130,"NW",42,NA,1,2,1,"offpiste"
13161,1997-02-16,0,"1996/97","VS","Greppon Blanc",593520,110200,25,2680,"E",41,NA,1,2,2,"offpiste"
13163,1997-02-16,0,"1996/97","VS","Le Métailler / Plan di Arjes",591270,108160,25,2150,"NW",43,NA,1,1,0,"tour"
13166,1997-02-16,0,"1996/97","VS","Champex / La Breya / Couloir de Planzin",574110,96810,25,2120,"NNE",37,NA,1,1,1,"offpiste"
13172,1997-02-21,0,"1996/97","BE","Wildstrubel / Schneehorn",608760,137560,25,3100,"SW",37,NA,2,2,2,"tour"
13173,1997-02-21,0,"1996/97","GR","Gotschnagrat / Gotschnawang",784160,192220,25,2180,"NE",45,NA,1,2,1,"offpiste"
13179,1997-02-23,0,"1996/97","NW","Haldigrat / Chäserstad",676330,195310,25,1870,"NE",40,NA,1,1,1,"tour"
13180,1997-02-23,0,"1996/97","VS","Greppon Blanc",595090,109960,25,2200,"E",36,NA,1,1,1,"tour"
13183,1997-02-28,0,"1996/97","BE","Steintälli / Jochpass / Engstlenalp",672520,180385,25,2380,"NNW",38,NA,3,6,4,"offpiste"
13218,1997-05-04,0,"1996/97","GR","Piz Boval",789450,143440,25,3220,"E",NA,NA,1,1,0,"tour"
13221,1997-07-21,0,"1996/97","UR","Tiefengletscher / Galenstock",675000,162600,25,3540,"E",NA,NA,3,3,2,"tour"
20001,1997-10-26,0,"1997/98","BE","Doldenhornsattel / Doldenhorn",622300,146540,25,3420,"N",NA,NA,2,2,1,"tour"
20006,1997-12-19,0,"1997/98","GR","Camanna Suvretta / Piz Nair",779150,152850,25,2560,"SW",30,3,1,2,1,"offpiste"
20007,1997-12-21,0,"1997/98","UR","Gemsstock",689950,161950,25,2940,"NW",NA,4,1,2,1,"transportation.corridor"
20015,1997-12-29,0,"1997/98","VS","Tête de la Payanne / Bruson",581500,98085,25,2435,"NE",35,3,1,2,2,"tour"
20024,1998-01-04,0,"1997/98","UR","Geissgrat - Gemsplangge / Gemsstock",690250,163550,25,2400,"N",50,3,1,2,1,"offpiste"
20031,1998-01-20,0,"1997/98","GR","Margunin / Alp Muntatsch",784730,157670,25,2435,"SE",28,3,1,1,1,"tour"
20039,1998-01-21,0,"1997/98","FR","Laubspitz - Litefret / Vallée-de-la-Mort / Jaunpass",583500,162100,100,1620,"WNW",40,4,1,1,1,"transportation.corridor"
20045,1998-01-25,0,"1997/98","VS","Glacier de Tsena Réfien / Pigne d’Arolla",600000,94380,25,3300,"NNW",35,2,1,6,3,"tour"
20046,1998-01-26,0,"1997/98","GR","Pizza Naira / Parpaner Rothorn",766060,177480,25,2800,"WNW",45,2,1,1,1,"offpiste"
20058,1998-03-18,0,"1997/98","GR","Piz Platta",763050,150440,25,3300,"S",NA,2,2,4,0,"tour"
20063,1998-03-30,0,"1997/98","SZ","Schwarzstock",704550,210630,25,1450,"SW",47,2,1,1,1,"tour"
20070,1998-04-20,0,"1997/98","GR","Il Chapütschin",783400,139750,25,2950,"ENE",45,2,1,1,1,"tour"
20102,1998-10-04,0,"1998/99","BE","Morgenhorn - Gamchigletscher",627150,149420,25,3600,"N",55,NA,2,2,1,"tour"
20111,1998-12-10,0,"1998/99","VS","Col de Riedmatten / Monts Rouges / Arolla",599540,96500,100,2980,"ESE",42,2,1,1,1,"tour"
20114,1998-12-12,0,"1998/99","VS","Meiggergrabe / Meiggertal / Mittaghorn",639070,103500,25,2680,"SE",NA,2,1,2,0,"tour"
20115,1998-12-12,0,"1998/99","VS","Sur Gde Conche / Cuboré / Brochaux / Pte de Mossette",551770,115000,25,2100,"WNW",40,2,1,1,1,"offpiste"
